1	9.98	14.282680904800738	9.9
6	9.88	5.087593589460532	9.41480149401
11	9.78	3.984053083380262	8.953382542587164
16	9.68	3.494265626261136	8.514577710948755
21	9.58	3.2028029861718577	8.097278682212584
26	9.48	3.0037894478685634	7.7004314580515505
31	9.38	2.8565361809601475	7.323033696543975
36	9.28	2.741685144747688	6.964132180495735
41	9.18	2.648709225548634	6.622820409839835
46	9.08	2.5713299915054884	6.298236312032323
51	8.98	2.505540205845437	5.98956006466161
56	8.88	2.4486456748055088	5.6960120247715915
61	8.78	2.398758818194343	5.416850759668535
66	8.68	2.3545121834456424	5.151371174238033
71	8.58	2.314887280066119	4.898902730042049
76	8.48	2.279107611541047	4.658807751697934
81	8.38	2.2465692603734726	4.430479816261725
86	8.28	2.2167943757388615	4.213342221547681
91	8.18	2.1893991351671795	4.006846529515405
96	8.08	2.1640711394709324	3.8104711810454965
101	7.98	2.14055312315876	3.6237201786049686
106	7.88	2.118630994353557	3.4461218334751758
111	7.78	2.098124905831064	3.277227574378037
116	7.68	2.0788824884491417	3.116610814491425
121	7.58	2.06077365353209	2.96386587399208
126	7.48	2.0436865511809805	2.818606955404635
131	7.38	2.0275243921334556	2.680467169168741
136	7.28	2.0122029229886995	2.549097606963093
141	7.18	1.9976484015549643	2.424166460445802
146	7.08	1.9837959591375487	2.3053581831852594
151	6.98	1.9705882651708322	2.192372693664723
156	6.88	1.957974430263685	2.0849246173476126
161	6.78	1.945909098849094	1.9827425658891442
166	6.68	1.9343516938183138	1.8855684516737712
171	6.58	1.9232657838864895	1.7931568359471053
176	6.48	1.9126185507537952	1.7052743088958635
181	6.38	1.9023803379393902	1.6216989001100655
186	6.28	1.8925242668642523	1.542219517938446
191	6.18	1.8830259086241734	1.4666354163210369
196	6.08	1.8738630021304965	1.3947556877522498
201	5.98	1.8650152110540303	1.326398781093821
206	5.88	1.856463913398659	1.2613920430197116
211	5.78	1.8481920186389948	1.1995712819347788
216	5.68	1.8401838082440185	1.140780353265762
221	5.58	1.8324247961238043	1.0848707650771465
226	5.48	1.8249016061158463	1.031701303015767
231	5.38	1.8176018640992988	0.9811376736368591
236	5.28	1.8105141027115383	0.9330521652106866
241	5.18	1.8036276769588906	0.8873233251530138
246	5.08	1.7969326892755026	0.8438356532646984
251	4.98	1.7904199228017585	0.8024793100055947
256	4.88	1.784080781834682	0.763149839065938
261	4.78	1.7779072385541375	0.7257479035344933
266	4.68	1.7718917852556404	0.6901790349970881
271	4.58	1.7660273914275695	0.6563533949318147
276	4.48	1.76030746510095	0.6241855477982408
281	4.38	1.7547258179766274	0.5935942452475078
286	4.28	1.7492766338998402	0.5645022209082803
291	4.18	1.7439544403078078	0.5368359952302263
296	4.08	1.7387540823235514	0.510525689892109
301	3.98	1.7336706992100062	0.4855048513057287
306	3.88	1.72869970293361	0.461710282769927
311	3.78	1.7238367586168961	0.439081884850716
316	3.68	1.7190777666858266	0.41756250358436836
321	3.58	1.7144188465403432	0.3970977861200674
326	3.48	1.709856321596393	0.37763604343750246
331	3.38	1.7053867055648848	0.359128119792669
336	3.28	1.701006689848083	0.3415272685621234
341	3.18	1.6967131319470898	0.3247890341721044
346	3.08	1.692503044785614	0.3088711398143024
351	2.98	1.688373586865342	0.2937333806646733
356	2.88	1.68432205317717	0.27933752233559334
361	2.78	1.680345866800411	0.26564720430486827
366	2.68	1.6764425711290496	0.2526278480776821
371	2.58	1.6726098226702772	0.24024656984952455
376	2.48	1.6688453843659952	0.22847209744950317
381	2.38	1.6651471193928291	0.2172746913542607
386	2.28	1.661512985400505	0.20662606957299545
391	2.18	1.657941029152291	0.1964993362138638
396	2.08	1.6544293815346396	0.18686891355133922
401	1.98	1.6509762529062353	0.17771047742294685
406	1.88	1.647579928759391	0.16900089579220107
411	1.78	1.644238765669217	0.16071817032256996
416	1.68	1.640951187508183	0.1528413808148975
421	1.58	1.6377156819056888	0.14535063236794427
426	1.48	1.6345307969340503	0.13822700512858788
431	1.38	1.6313951380039167	0.13145250650476334
436	1.28	1.6283073649535964	0.12501002572044495
441	1.18	1.6252661893180829	0.11888329059788622
446	1.08	1.6222703717647624	0.11305682645796
451	0.98	1.6193187196838668	0.10751591703479102
456	0.88	1.6164100849227079	0.10224656730596018
461	0.78	1.6135433616536272	0.09723546814439878
466	0.68	1.610717484366392	0.09246996270269164
471	0.58	1.607931425976512	0.08793801444488386
476	0.48	1.6051841960416142	0.08362817674504702
481	0.38	1.6024748390786292	0.07952956397581828
486	0.28	1.599802432975092	0.07563182401388867
491	0.18	1.5971660874883777	0.071925112092996
496	0.08	1.5945649428271524	0.06840006593838135
